'Name',",'Type',","'City',","'State or Country',","Offical_Web',",'Introduction',",'Industries',","'Campaign',",'Transactions','Location','Team','References'
Grant Thornton,Accountant ,Toronto, ON,http://www.grantthornton.ca/,"Grant Thornton LLP is a leading Canadian accounting and advisory firm providing audit, tax and advisory services to private and public organizations. Together with the Quebec firm Raymond Chabot Grant Thornton LLP, Grant Thornton has more than 3,400 people in over 100 offices across the country and annual revenues of more than $450 million. Grant Thornton LLP is a Canadian member of Grant Thornton International Ltd, whose member and correspondent firms operate in over 100 countries worldwide. Recognized as one of Canada's Best Workplaces by the Great Place to Work Institute in 2008, 2009 and again in 2010, Grant Thornton LLP focuses on being a bold and positive leader in our chosen markets and within the professional services industry. Grant Thornton holds a strong commitment to our values of collaboration, leadership, excellence, agility, respect and responsibility. Specialties Accounting, Assurance, Tax, Audit, Advisory, US Tax, International Tax, Risk Advisory, Succession & Estate Planning
    Show Less","Business Services:
                                Advertising; Airport Services; Commercial Printing; Data Processing & Outsourced Services; Diversified Support Services; Environmental & Facilities Services; Human Resource & Employment Services; IT Consulting & Other Services; Marine Ports & Services; Office Services & Supplies; Payment Processors; Research & Consulting Services; Security & Alarm Services
                            
Consumer Goods:
                                Agricultural Products; Apparel, Accessories & Luxury Goods; Auto Parts & Accessories; Automotive Products; Brewers; Consumer Durables & Apparel; Consumer Electronics; Distillers & Vintners; Food, Beverage & Tobacco; Footwear; Home Furnishings; Homebuilding; Household & Personal Products; Household Appliances; Household Products; Housewares & Specialties; Leisure Products; Packaged Foods & Meats; Personal Products; Photographic Products; Soft Drinks; Textiles; Tires & Rubber; Tobacco
                            
Consumer Services:
                                Casino & Gaming Operators; Education Services; Hotel, Resort & Cruise Line Operators; Leisure Facilities; Restaurants; Specialized Consumer Services
                            
Energy & Utilities:
                                Alternative Energy; Alternative Energy Distribution; Alternative Energy Production; Coal & Consumable Fuels; Electric Utilities; Energy Equipment & Services; Gas Utilities; Independent Power Producers & Energy Traders; Integrated Oil & Gas; Multi-Utilities; Oil & Gas Drilling; Oil & Gas Equipment & Services; Oil & Gas Exploration & Production; Oil & Gas Refining & Marketing; Oil & Gas Storage & Transportation; Oil, Gas & Consumable Fuels; Utilities; Water Utilities
                            
Financial Services:
                                Asset Management & Custody Banks; Banks; Consumer Finance; Credit & Debit Card Issuers; Diversified Banks; Diversified Capital Markets; Diversified Financials; Insurance; Insurance Brokers; Investment Banking & Brokerage; Life & Health Insurance; Mortgage Banker; Mortgage Broker; Mortgage Processors & Servicers; Multi-Sector Holdings; Multi-line Insurance; Other Diversified Financial Services; Payday Lenders; Property & Casualty Insurance; Regional Banks; Reinsurance; Specialized Finance; Thrifts & S&Ls
                            
Health Care:
                                Health Care Distributors; Health Care Equipment; Health Care Facilities; Health Care Services; Health Care Supplies; Health Care Technology; Managed Health Care
                            
Industrials:
                                Aerospace & Defense; Air Freight & Logistics; Airlines; Building Products; Capital Goods; Construction & Engineering; Construction & Farm Machinery & Heavy Trucks; Electrical Components & Equipment; Heavy Electrical Equipment; Highways & Railtracks; Industrial Conglomerates; Industrial Machinery & Equipment; Marine Shipping; Railroads; Safety Equipment; Third Party Logistics (3PL); Trading Companies & Distributors; Transportation; Trucking
                            
Life Sciences:
                                Biotechnology; Life Sciences Tools & Services; Nutraceuticals; Pharmaceuticals
                            
Materials:
                                Aluminum Products; Chemicals; Commodity Chemicals; Construction Materials; Containers & Packaging; Diversified Chemicals; Fertilizers & Agricultural Chemicals; Forest Products; Gold Products; Industrial Gases; Metal Ore Mining; Metal, Glass & Plastic Containers; Metals & Mining; Nonmetallic Mineral Mining & Quarrying; Other Metal & Mineral Products; Paper & Forest Products; Paper Packaging; Paper Products; Specialty Chemicals; Steel Products
                            
Media:
                                Broadcasting; Cable & Satellite; Digital & Social Media; Movies & Entertainment; Publishing
                            
Real Estate:
